From URL,Expected Redirect,Actual Redirect,Status
/dashboard.html,/dashboard,https://dev-9i6urubs.us.auth0.com/u/login?state=hKFo2SBfNFBxeUJiTU1TM3pWejNJVmYyaHJIS1pYcmFIYnVkeKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIC1qaDdpYmY3dGdiUTE0MVZPZndpbmJqTGRxNXpuMEVfo2NpZNkgenFNUjl1eHZqV3hGaTR1RU5kNHpSTERhSnVnN2lrQzY,400
/owners-closet.html,/dashboard,https://dev-9i6urubs.us.auth0.com/u/login?state=hKFo2SBQbEdwS1lJZlY1OG4xNmpzRmtGTDdrQ3ZrN1dJQ0NIVKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIHY3RjFKcTNGZXFYU3h6aUs1WVVyREoyYkVzUHdZcDJEo2NpZNkgenFNUjl1eHZqV3hGaTR1RU5kNHpSTERhSnVnN2lrQzY,400
/vacation-rentals/litchfield-beach-and-golf-villa-2bdrm-scenic.html,"/myrtle-beach/units/litchfield-beach-and-golf-2-bedroom-scenic-villa
",,500
/vacation-rentals/litchfield-beach-and-golf-pawleys-plantation-2-bedroom-suite.html,"/myrtle-beach/units/litchfield-beach-and-golf-2-bedroom-suite-bridgewater
",,500
/vacation-rentals/litchfield-beach-and-golf-villa-4bdrm-fairway.html,"/myrtle-beach/units/litchfield-beach-and-golf-4-bedroom-fairway-villa
",,500
/rental-management.html,/north-myrtle-beach/rental-management,https://www.condo-world.com/property-management,404
/TBR,/north-myrtle-beach/resorts/tilghman-beach-and-racquet?kmas=750&utm_source=brochure&utm_medium=print&utm_campaign=brochure ,https://www.condo-world.com/north-myrtle-beach/resorts/tilghman-beach-and-racquet?kmas=750&utm_source=brochure&utm_medium=print&utm_campaign=brochure,404
/vacation-rentals/north-beach-plantation-1bdrm-deluxe-suite.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-1-bedroom-oceanfront-calabash-condo
",,404
/vacation-rentals/north-beach-plantation-southport-1bdrm-condo.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-1-bedroom-oceanfront-southport-condo
",,500
/vacation-rentals/north-beach-plantation-hampton-2bdrm-condo.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-2-bedroom-oceanfront-hampton-condo
",,500
/vacation-rentals/north-beach-plantation-hampton-2bdrm-king-condo.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-2-bedroom-oceanfront-king-condo
",,500
/vacation-rentals/north-beach-plantation-palmetto-4bdrm-condo.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-4-bedroom-oceanfront-palmetto-condo
",,500
/vacation-rentals/north-beach-plantation-savannah-4bdrm-condo.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-4-bedroom-oceanfront-savannah-condo
",,500
/vacation-rentals/north-beach-plantation-charleston.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-5-bedroom-oceanfront-charleston-condo
",,500
/vacation-rentals/north-beach-plantation-georgetown.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-5-bedroom-oceanfront-georgetown-condo
",,500
/vacation-rentals/north-beach-plantation-the-bridge.html,"/north-myrtle-beach/units/north-beach-resort-and-villas-7-bedroom-oceanfront-penthouse-the-bridge
",,404
/vacation-rentals/litchfield-beach-and-golf-pawleys-plantation-1-bedroom-suite.html,"/pawleys-island/units/litchfield-beach-and-golf-1-bedroom-deluxe-suite-bridgewater
",,500
/vacation-rentals/litchfield-beach-and-golf-pawleys-plantation-1-bedroom-king-suite.html,"/pawleys-island/units/litchfield-beach-and-golf-1-bedroom-king-suite-bridgewater
",,500
/vacation-rentals/litchfield-beach-and-golf-seaside-1bdrm-suite.html,"/pawleys-island/units/litchfield-beach-and-golf-1-bedroom-seaside
",,500
/vacation-rentals/litchfield-beach-and-golf-pawleys-plantation-room.html,"/pawleys-island/units/litchfield-beach-and-golf-1-bedroom-suite-pawleys-plantation
",,500
/vacation-rentals/litchfield-beach-and-golf-true-blue-2-bedroom-villa.html,"/pawleys-island/units/litchfield-beach-and-golf-2-bedroom-golf-villa-true-blue
",,404
/vacation-rentals/litchfield-beach-and-golf-pawleys-plantation-2-bedroom-king-suite.html,"/pawleys-island/units/litchfield-beach-and-golf-2-bedroom-king-suite-pawleys-plantation
",,500
/vacation-rentals/litchfield-beach-and-golf-seaside-2bdrm-suite.html,"/pawleys-island/units/litchfield-beach-and-golf-2-bedroom-suite-seaside
",,500
/vacation-rentals/litchfield-beach-and-golf-villa-3bdrm-fairway.html,"/pawleys-island/units/litchfield-beach-and-golf-3-bedroom-fairway-villa
",,500
/vacation-rentals/litchfield-beach-and-golf-true-blue-3-bedroom-villa.html,"/pawleys-island/units/litchfield-beach-and-golf-3-bedroom-golf-villa-true-blue
",,500
/vacation-rentals/litchfield-beach-and-golf-pawleys-plantation-3-bedroom-villa.html,"/pawleys-island/units/litchfield-beach-and-golf-3-bedroom-pawleys-plantation
",,500
/north-myrtle-beach/units/windy-hill-dunes-703xx,/north-myrtle-beach/units/windy-hill-dunes-703,,404
/north-myrtle-beach/units/crescent-shores-s-709x,/north-myrtle-beach/units/crescent-shores-s-709,,404
/onlinebooking/ownerview.aspx,/dashboard,https://dev-9i6urubs.us.auth0.com/u/login?state=hKFo2SAtY0hRUjlPT0pIMWItT2JwQnMxQU44Znc3MWxyWGVGcaFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIGxLeVExN3BRb0RhWlJDS1VaLVhzWDlVanc5RExvbUlmo2NpZNkgenFNUjl1eHZqV3hGaTR1RU5kNHpSTERhSnVnN2lrQzY,400
/searchresults_bld.html?resort=Compass-Cove?arrivalDate%3D,/myrtle-beach/rentals/compass-cove,,404
/north-myrtle-beach/units/mar-vista-grande-501,/north-myrtle-beach/rentals/mar-vista-grande,,404
/myrtle-beach-condo-rentals/SOUTHSHORE-PH%2004-north-myrtle-beach-condo.htm,/north-myrtle-beach/rentals/south-shore-villas,https://www.condo-world.com/myrtle-beach-condo-rentals/southshore-ph%2004-north-myrtle-beach-condo.htm,404
/north-myrtle-beach/units/windy-hill-dunes-1503,/north-myrtle-beach/rentals/windy-hill-dunes,,404
